2022-10-17 00:17:08 | 2+7*5-2/0 = 37
2022-10-17 00:25:31 | 2/0 = None
2022-10-17 00:27:40 | 2/0 = None
2022-10-17 00:28:20 | 2+6*7-6/3+2/0 = None
2022-10-17 00:29:54 | Ошибка: деление на ноль
2022-10-17 00:29:54 | 2/0 = None
2022-10-17 12:49:24 | 1+10/2*3+8 = 24.0
2022-10-17 12:49:36 | Ошибка: деление на ноль
2022-10-17 12:49:36 | 2/0 = None
2022-10-17 12:49:58 | 1+(10/2)*3+8 = 24.0
2022-10-17 20:13:08 | 59-31*(2*9)/2 = -220.0
